-0.000330274924635887,-5.49182295799255E-05,-0.00067533552646637,0.06, 0.10, 0.09
-0.000923671759665012,0.000429056584835052,-0.00148732960224152,0.15, 0.15, 359.97
-0.00111562944948673,0.000976048409938812,-0.00207129120826721,0.19, 0.19, 359.91
-0.000892404466867447,0.00169775635004044,-0.00315099954605103,0.25, 0.21, 359.87
-0.00107247848063707,0.00248706340789795,-0.00496500730514526,0.41, 0.27, 359.79
-0.00102701596915722,0.00333061814308167,-0.00705677270889282,0.56, 0.31, 359.71
-0.000651635229587555,0.00414436310529709,-0.00892060995101929,0.66, 0.34, 359.66
-0.000101151876151562,0.00534647330641747,-0.0109701007604599,0.78, 0.38, 359.53
0.000436975620687008,0.00628203153610229,-0.0122080147266388,0.84, 0.40, 359.41
0.0013521509245038,0.00729908049106598,-0.0132836252450943,0.93, 0.37, 359.28
0.00295849703252316,0.00858327373862267,-0.0141774564981461,1.02, 0.25, 359.10
0.00336448289453983,0.00891080126166344,-0.0143692046403885,1.04, 0.22, 359.05
0.00528731569647789,0.0103156678378582,-0.0150929093360901,1.15, 359.86, 358.70
0.00574131216853857,0.010679829865694,-0.0152087509632111,1.18, 359.77, 358.58
0.00742120109498501,0.0126731730997562,-0.0155540257692337,1.44, 359.32, 357.98
0.00774318538606167,0.0130557492375374,-0.0156267732381821,1.49, 359.23, 357.86
0.00918742176145315,0.0150217711925507,-0.0159443318843842,1.77, 358.82, 357.23
0.0104750851169229,0.0164819546043873,-0.0160741955041885,1.98, 358.47, 356.73
0.0109303696081042,0.0169745571911335,-0.0161023288965225,2.05, 358.34, 356.55
0.0129470294341445,0.0186014175415039,-0.0162290036678314,2.28, 357.90, 355.90
0.0149900736287236,0.0198566801846027,-0.0162109583616257,2.42, 357.52, 355.36
0.0173240378499031,0.0211234726011753,-0.0164432674646378,2.57, 357.13, 354.79
0.0181752145290375,0.0215277373790741,-0.016602098941803,2.62, 356.98, 354.60
0.0210863389074802,0.0224912948906422,-0.0171873867511749,2.69, 356.49, 354.01
0.0236316435039043,0.02304607629776,-0.0179915577173233,2.71, 356.07, 353.56
0.0248318575322628,0.0232644304633141,-0.0183403491973877,2.71, 355.88, 353.35
0.0280612744390965,0.0237506069242954,-0.0190790593624115,2.62, 355.40, 352.80
0.0306621715426445,0.0241400860249996,-0.0196923464536667,2.51, 355.00, 352.30
0.0315511524677277,0.0242756344377995,-0.0199106186628342,2.47, 354.87, 352.13
0.0352783836424351,0.0247586220502853,-0.0206204354763031,2.30, 354.35, 351.51
0.0381790436804295,0.0250889733433723,-0.0212785601615906,2.18, 353.97, 351.10
0.0415734685957432,0.0253741256892681,-0.0218321830034256,2.04, 353.55, 350.73
0.0425800867378712,0.0254604518413544,-0.0219986736774445,2.00, 353.42, 350.63
0.0468672066926956,0.0257873721420765,-0.0225907564163208,1.82, 352.90, 350.21
0.0500150434672832,0.0261261016130447,-0.02310910820961,1.71, 352.52, 349.89
0.0511882677674294,0.0262505039572716,-0.0233162045478821,1.67, 352.38, 349.78
0.0563639774918556,0.0268591307103634,-0.0240787416696548,1.55, 351.79, 349.34
0.0574477985501289,0.0269713960587978,-0.0242134481668472,1.52, 351.67, 349.26
0.0617409721016884,0.0273965448141098,-0.0247468650341034,1.40, 351.19, 348.95
0.0650833621621132,0.0277087315917015,-0.0250175297260284,1.31, 350.83, 348.74
0.0664481222629547,0.0278315953910351,-0.0251348465681076,1.27, 350.68, 348.67
0.0709139779210091,0.0281435996294022,-0.0253036469221115,1.16, 350.17, 348.53
0.0747394487261772,0.0284196995198727,-0.0255024135112762,1.09, 349.76, 348.45
0.0759653225541115,0.0285081788897514,-0.0255696773529053,1.07, 349.63, 348.42
0.081437848508358,0.0291067622601986,-0.0259937047958374,1.02, 349.05, 348.31
0.0854740515351295,0.0296919792890549,-0.0262928009033203,1.03, 348.67, 348.25
0.0867842435836792,0.0298910401761532,-0.0264058411121368,1.04, 348.55, 348.23
0.0933308526873589,0.0309842899441719,-0.0270929932594299,1.12, 348.03, 348.24
0.0980928987264633,0.0318118520081043,-0.0273842513561249,1.18, 347.68, 348.31
0.103505849838257,0.0328355990350246,-0.0279157906770706,1.29, 347.31, 348.48
0.109561637043953,0.0339029841125011,-0.0280803143978119,1.39, 346.93, 348.83
0.111955747008324,0.0343372486531734,-0.0280799865722656,1.43, 346.80, 348.99
0.12295626103878,0.0365786999464035,-0.0281535089015961,1.57, 346.31, 349.99
0.125595942139626,0.0371387302875519,-0.0281421542167664,1.61, 346.20, 350.22
0.133877575397491,0.038992166519165,-0.028610497713089,1.78, 345.87, 351.08
0.140571594238281,0.0405885204672813,-0.0290956795215607,1.95, 345.62, 351.82
0.147632539272308,0.0423627495765686,-0.0295911729335785,2.12, 345.40, 352.68
0.154499083757401,0.0441156178712845,-0.0300202369689941,2.27, 345.21, 353.56
0.156790360808372,0.0446968488395214,-0.0301437079906464,2.31, 345.14, 353.87
0.168131977319717,0.0478455498814583,-0.031767413020134,2.63, 344.98, 355.63
0.170524507761002,0.0485192164778709,-0.032090812921524,2.70, 344.95, 355.99
0.178897053003311,0.0511067882180214,-0.0337094813585281,2.98, 344.99, 357.42
0.184484019875526,0.0531784407794476,-0.0353256165981293,3.28, 345.09, 358.42
0.186274498701096,0.0538450591266155,-0.0358406528830528,3.37, 345.13, 358.74
0.192899778485298,0.056788232177496,-0.0381340011954308,3.79, 345.38, 0.02
0.194398060441017,0.0574559569358826,-0.0386543497443199,3.88, 345.44, 0.31
0.199845060706139,0.0608821585774422,-0.0416406467556953,4.42, 345.86, 1.60
